,article,url
0,"제이엘케이인스펙션(대표 김동민·김원태)은 KB인베스트먼트, KTB네트워크, 파인벨류자산운용 등으로부터 200억 원 규모 투자를 유치했다고 19일 밝혔다.
         제이엘케이인스펙션은 인공지능 뇌졸증 진단기를 개발한 기업이다. 지난해 8월 식품의약품안전처에서 3등급 허가를 획득했다.
         또 인공지능을 통해 엑스레이, 자기공명영상촬영장치(MRI)와 같은 의료기기가 촬영한 14개 신체부위 37개 질환 진단을 보조할 수 있는 플랫폼 'AIHub' 개발을 완료했다.
         하반기 목표로 기술특례를 통한 상장을 준비하고 있다.
         투자회사들은 상장 전 투자유치(Pre-IPO) 형태로 투자했다.
         제이엘케이인스펙션이 발행한 보통주의 신주를 인수하는 방식이다.
         제이엘케이인스펙션은 이번 투자유치를 통해 국내외 우수 인재를 영입할 계획이다. 글로벌 시장 진출을 위해 미국·유럽 법인을 설립하고 글로벌 임상과 마케팅을 진행할 예정이다.
         김동민 대표는 “대한민국의 높은 수준의 의료 서비스와 자사의 우수한 인공지능 기술 접목을 통해 개발된 케이엘케이인스펙션 솔루션이 인류 건강과 복지, 세계 의료환경 개선에 기여할 수 있도록 더욱 매진하겠다”고 말했다.
         충청=강우성기자 kws9240@etnews.com",http://v.media.daum.net/v/20190419142206229
1,"에코백스(ECOVACS)는 한국소비자포럼과 미국의 유명 브랜드 가치 평가기관인 브랜드키, 엠블럼이 공동 발표한 '2019 브랜드 고객충성도(BCLI)'에서 에코백스가 로봇청소기 부문 1위에 선정됐다고 19일 밝혔다.
         조사는 브랜드 이용 경험이 있는 전국 15세 이상 소비자를 대상으로 2월 18일부터 11일간 진행됐다. 브랜드 신뢰, 브랜드 애착, 재구매 의도, 타인 추천 의도, 전환 의도 다섯 가지 항목에 온라인·모바일 조사(50%)와 일대일 유선 조사(50%)로 브랜드를 선정한다.
         에코백스 대표 제품은 디봇 오즈모 900이다. 물걸레가 탑재된 올인원 제품이다. 정밀도가 떨어지는 카메라 촬영식 대신 레이저 거리 센서를 이용해 효율적 경로로 청소한다. 자율 주행 기술을 도입했고 사물인터넷(IoT) 기능을 지원한다.
         인공지능(AI) 기술 AIVI를 탑재한 '디봇 오즈모 960'은 올 하반기 출시한다.
         조나단 탕 에코백스 글로벌 비즈니스 부사장은 “만족도와 선호도를 넘어 고객충성도가 높은 브랜드로 선정되었음을 자랑스럽게 생각한다”면서 “앞으로도 혁신적이고 삶에 여유를 주는 제품을 선보여 고객과의 유대관계를 한층 더 강화해 나가겠다”고 말했다.
         이영호기자 youngtiger@etnews.com",http://v.media.daum.net/v/20190419174204026
2,"이노워터앤솔루션이 초미세먼지 제거 솔루션 퓨리움(PURIUM)을 24일 월드IT쇼(WIS) 2019에서 정식 출시한다.
          
         
         초미세먼지 실내유입을 원천차단하고 피톤치드로 공기정화까지 하는 초미세먼지 제거기 '퓨리움'이 베일을 벗는다. 공공시설 중심으로 설치가 확대돼 미세먼지 사각지대에 놓인 사회적 약자까지 고른 혜택을 볼 전망이다.
         이노워터앤솔루션(대표 박춘희)이 초미세먼지 제거 솔루션 '퓨리움(PURIUM)'을 24일부터 27일까지 나흘간 서울 삼성동 코엑스에서 개최되는 '월드IT쇼(WIS) 2019'에서 정식 출시한다고 밝혔다.
         이노워터앤솔루션은 옷에 묻은 초미세먼지를 간편히 제거하는 인공지능(AI)·사물인터넷(IoT)기술로 특허를 등록하고 지난달 KC인증 받았다. 기술검증이 끝난 만큼 공공·교육·복지시설을 중심으로 주거·학원시설로 제품 공급을 확대할 계획이다.
         최근 학교마다 실내 미세먼지 측정기 설치 계획이 있지만 공기청정시설 없이 센서 설치만으로는 의미가 없다는 지적이다.
         박춘희 이노워터앤솔루션 대표는 “미세먼지로 야외활동을 하지 못하는 어린이·학생을 위한 미세먼지 제로존이 필요하다”면서 “100평이 넘는 학생식당이나 수백평 규모 실내체육관에 공기청정기를 설치하려면 비용부담도 있고 실질 효과도 장담하기 어렵다”고 전했다.
         그는 또 “퓨리움은 게이트부터 미세먼지 유입을 원천 차단하고 향균작용, 공기정화, 데이터분석 등 세 가지 기능을 제공한다”면서 “데이터가 쌓이면 요일, 시간, 계절별 원인분석을 하고 CCTV처럼 공공이익을 위해 공조시설에 데이터정보를 제공할 수 있다”고 말했다.
         퓨리움은 신체에 붙은 초미세먼지와 세균 등 유해물질을 85% 이상 제거한다. 피톤치드와 고농도 산소를 뿜어 인체 쾌적지수를 30% 이상 향상시킨다. 국내산 편백 피톤치드 에센셜 오일(EO)과 수종별 EO를 보유한 이노워터앤솔루션은 EO 산화·산패방지 저장고를 운용하고 피톤치드 EO와 정제수 혼합 기계시설도 갖췄다.
         인체 무해한 LED 중파장과 고분자 항균막(PAS)으로 살균효과를 극대화한다. 플라즈마 이온 집진기가 바닥에 떨어진 먼지를 대형 공기청정기 10배 이상 강도로 흡입해 초고압으로 소각한다. 실내 공기 질을 50%이상 개선한다.
         또 AI IoT 센싱을 통해 실내공기를 24시간 감시하며 실내공기 트랜드를 분석하고 문제 발생 시 알람을 제공한다. 디지털사이니지로 공기 개선상태를 실시간 눈으로 확인할 수 있다. 실내외 미세먼지 빅데이터를 실시간 수집·분석해 잠재문제를 파악한 에어리포트 서비스도 제공한다.
         스마트시티 조성과정에서 퓨리움으로 수집·분석한 빅데이터는 실내 공기질 개선을 위한 기초자료로 활용할 수 있다. 아파트, 병원, 도서관, 복지시설 등 도시 주요시설 출입구 곳곳에 설치해 지역별 출입자 현황, 시간별 공기질 변화를 반영할 수 있다.
         박 대표는 “현재 미세먼지는 재난 수준이다. 미세먼지로 개인이 치러야할 비용이 너무 크다. 외부활동을 많이 하는 사회적 약자 피해가 상대적으로 크다”면서 “가정에서 건조기, 스타일러를 사용할 수 없는 대중을 위해 공공차원에서 해결해야한다”고 강조했다.
         그는 또 “이노워터앤솔루션 모토는 '더불어 살자'다. 깨끗한 물과 깨끗한 공기는 모든 인류가 공평하게 누려야할 자원”이라면서 “어린이집, 학교 등 다중공공시설을 중심으로 제품 설치를 확대할 것”이라고 덧붙였다.
         
          
          
           이노워터앤솔루션이 향균작용, 공기정화, 데이터분석 기능을 제공하는 퓨리움(PURIUM)을 24일 월드IT쇼(WIS) 2019에서 정식 출시한다.
          
         
         이준희기자 jhlee@etnews.com",http://v.media.daum.net/v/20190419152204412
3,"씨엔티테크가 식당 테이블에서 스마트폰으로 주문·결제하는 내 손안의 키오스크 '쉘위봇' 서비스를 론칭했다.
         동아시아 외식주문 중개플랫폼 전문기업 씨엔티테크(대표 전화성)가 최근 도시락 프랜차이즈 전문점 바비박스에 쉘위봇을 공급했다고 19일 밝혔다.
         씨엔티테크가 자체 개발한 쉘위봇은 국내형 키오스크 모델이다. 소비자가 매장에 비치된 키오스크나 개인 스마트폰을 이용해 직접 제품을 주문하고 다양한 방식으로 결제할 수 있는 레스토랑 자동화 솔루션이기도 하다. 쉘위봇을 도입한 레스토랑은 주문을 접수·결제하는 캐셔와 서빙 종업원 인건비를 절감할 수 있다.
         소비자가 스마트폰으로 주문하면 매장에 비치된 QR코드를 스캔해 별도 설치 없이 바로 주문·결제가 가능하다. 고객 테이블에 부착된 QR코드를 활용할 수 있어 매장 운영자가 어떤 테이블에서 주문이 들어왔는지 바로 확인할 수 있다. 또 인공지능(AI)과 증강현실(AR) 기술로 고객성향에 맞게 메뉴를 추천할 수 있다.
         쉘위봇은 카카오 챗봇 시스템과도 연동된다. 키오스크 QR코드를 스캔한 뒤 카카오톡에서 AI 챗봇과 채팅으로 간편하게 주문할 수 있다. 제품이 제조되면 고객에게 알림톡으로 주문현황에 대한 정보를 실시간으로 제공하여 진동벨이 필요없다.
         정해진 응답규칙을 바탕으로 사용자와 대화할 수 있어 소비자 질문에 대답을 하거나 기존 소비자 성향을 바탕으로 상품을 추천해 주기도 한다. 챗봇 서비스로 고객은 시간·장소 제약 없이 주문·상담 서비스를 받을 수 있어 피크타임에도 대기시간에 지칠 필요가 없다.
         전화성 씨엔티테크 대표는 “해외시장에서 선보였던 키오스크 기술을 국내시장에 적합한 모델로 제공할 것”이라며 “첨단기술을 지속 개발해 사용자가 신속하고 편리하게 주문·결제할 수 있는 환경을 만들어 나갈 것”이라고 전했다.
         씨엔티테크는 국내 푸드테크 플랫폼 시장 점유율 97%을 차지한다. 주문형·BYOD(Bring Your Own Device)형 키오스크를 글로벌 시장에 수출한 바 있다. 현재 동남아 KFC 소유주 자딘그룹과 계약을 맺어 홍콩·대만·필리핀 등 동남아시장에 160억원규모 키오스크 사업을 진행 중이다.
         이준희기자 jhlee@etnews.com",http://v.media.daum.net/v/20190419103612845
4,"2019 성남창업경연대회 수상팀들이 기념촬영했다.
          
         
         성남산업진흥원은 '2019 성남창업경연대회'를 개최, 아이디어가 번뜩이는 유망 창업팀 10곳을 최종 선정했다고 밝혔다.
         성남창업경연대회(이하 경연대회)는 2003년부터 17년째 이어오는 진흥원 대표사업이다. 성남시뿐만 아니라 전국 예비창업자 및 창업초기기업 우수 사업아이템을 발굴, 창업활성화를 통한 지역경제 발전이 목적이다.
         이번 경연대회는 1~2월 참가팀 모집을 시작했다. 사업 타당성, 창업 아이템 혁신성·경쟁력, 시장 판매전략·마케팅 등 종합 평가했다. 공정한 평가를 위해 공개오디션으로 진행됐다. 창업팀 역량을 높이기 위해 IR피칭멘토링을 했다.
         이번 경연대회는 총 182개 창업팀이 신청하는 등 역대 최고를 기록했다. 경합 끝에 총 10개팀이 선정됐다.
         시너지에이아이(대표 신태영)의 '인공지능 기반 장기(간, 신장) 인식 및 부피 측정 기술 서비스 및 서비스'와 소이넷(대표 김용호)의 '인공지능 실행 가속기'가 대상을 차지했다.
         박병호 성남산업진흥원 기업지원본부장은 “불꽃튀는 경쟁을 뚫고 이같은 성과를 거둔 창업팀에게 격려의 박수를 보낸다”며 “이번에 수상한 창업팀이 혁신적인 활동과 가치 창출이라는 성공을 위해 뛸 때 성남산업진흥원이 함께 하겠다”고 밝혔다.
         이번 경연대회 수상팀에게는 사업화지원금 최대 2000만원 지원을 비롯해 멘토링, 교육, 네트워킹, 창업캠프 등 창업팀 성장을 위한 프로그램이 운영된다. 성남시 정자동 성남창업센터 '정글on' 입주자격도 부여된다.
         김정희기자 jhakim@etnews.com",http://v.media.daum.net/v/20190418163303626
5,"필자는 오랫동안 기계산업에 몸담아온 사람으로서 기계산업 미래를 자주 상상해보곤 한다. 60년대 국내 최초 수동형 선반을 개발했던 기업은 스마트 공작기계를 개발하고 70년대 철제 쌀통을 만들던 기업은 첨단 반도체 장비를 만드는 기업으로 재탄생했다. 기계산업은 반세기 역사를 지나 지금 이 순간에도 진화를 거듭하고 있다.
         기계산업 역사는 기계산업인 모두가 함께 흘린 땀의 흔적이기도 하다. 그 안에는 광복 이후 산업의 불균형을 딛고 일궈낸 중화학공업육성, 국산화 및 기술지원 기반마련을 통한 경쟁력 강화, 기술력 확보와 도전정신으로 일궈낸 세계시장 진출 등 기계산업인이 걸어온 발자취가 고스란히 녹아 있다.
         이런 노력과 헌신으로 기계산업은 세계 수출 8위라는 괄목할 만한 성장을 이루었다.
         변화하는 글로벌 시장에서 주도권을 잃지 않고 기계산업 미래 50년을 일구어가기 위해서는 과도기인 현재를 어떻게 보내느냐가 매우 중요하다.
         모든 산업 분야가 융합을 거듭하는 상황에서 기계산업 역시 하드웨어만으로 경쟁력을 논하기는 어렵다. 최근 스마트공장 확산에 따라 빅데이터, 인공지능 기술을 바탕으로 한 지능형 기계설비의 수요가 확대될 것으로 기대되므로 원천기술 개발 노력과 더불어 생산기계, 설비의 고성능·고효율화 등 경쟁력 확보가 시급하다.
         B2B 산업인 기계산업은 일반 국민의 관심에서 조금 멀어져있지만 제조업 기반을 이루는 뿌리와 뼈대이며 고용창출효과가 큰 고부가가치 산업이다. 기술력을 축적하는 데 오랜 시간이 걸리지만 한 번 일정 수준 기술까지 도달하면 기술추격이 쉽지 않다. 따라서 정부차원 장기적이고 지속적 지원과 관심이 무엇보다 중요하다.
         이와 더불어 미래 기계산업을 이끌어 갈 기업 역할도 중요하다. 글로벌 기계산업을 대표하는 100년 기업들은 스스로 혁신을 거듭하고 있다.
         정부와 기계산업계 가교역할을 하며 기계산업 역사와 함께 성장해온 기계산업진흥회는 올해 창립 50주년을 맞이했다. 앞으로도 기진회는 기계산업이 ICT, IoT, 인공지능, 5G, 빅데이터 등 신기술과 융복합을 통해 디지털 혁신을 주도하고 일자리 창출과 경제활력 회복에 기여할 수 있도록 기계산업계와 함께 최선을 다해나갈 것이다.
         정부, 기업, 산학연 모두가 하나의 방향으로 역량을 결집하고 착기부주(着〃復走) 정신으로 매진한다면 새로운 시대, 새로운 성공 신화는 멀지 않다. 기계산업 새로운 50년이 더욱 기대되는 이유다.
         한국기계산업진흥회 손동연 회장(두산인프라코어 대표이사 사장)",http://v.media.daum.net/v/20190418170005592
6,"지난 50년간 우리나라 기계산업은 눈부시게 발전했다. 자동차, 조선, 철강, 반도체, 디스플레이 등 한국을 대표하는 주력 산업 성장은 기계산업 혁신이 바탕이 됐다. 제조 기술을 거듭 혁신하지 않으면 완성품 경쟁력은 떨어질 수밖에 없다. 세계 시장서 스포트라이트를 받는 한국 대표 수출상품 뒤에는 묵묵히 연구개발에 매진하며 땀 흘린 기계산업이 있었다.
         한국 기계산업은 새로운 50년을 향한 성장 길목에 서있다. 그동안 외산에 의존하던 기계를 국산화하는데 성공하고 일반 기계의 경우 수출 주력 품목으로 성장하는 등 양적 질적으로 성장을 이뤘다.
         하지만 그 과정에서 기계산업 경쟁력을 좌우하는 부품·소재, 제조업 경쟁력 바탕을 이루는 금형·용접 등 뿌리산업 경쟁력은 상대적으로 뒤처졌다. 기계 제품 완성도는 높아졌지만 이를 형성하는 근간이 튼튼하지 못한 것이다.
         산업연구원에 따르면 한국 기계산업 경쟁력은 세계 최고수준 대비 86%로 아직 선두그룹에 속하진 못했다. 선진국과 비교해 생산기술은 비교적 선두 수준에 근접했으나 부품소재 기술은 가장 취약한 것으로 나타났다.
         4차 산업혁명 흐름에 걸맞은 미래 성장전략과 구체 실천방안이 부족한 것도 해결해야 할 숙제다. 전통 제조업에 첨단 인공지능, 사물인터넷, 빅데이터 등 첨단 기술을 접목해 다품종 소량생산에서 개인 맞춤형 생산 시대로 변해야 할 필요성은 알지만 기술 한계, 인식 부족 등이 걸림돌이 되고 있다.
         국내 기계산업은 디지털 제조혁신, 스마트공장 도입 확산을 발전 방향으로 삼고 있다. 첨단 기술설비를 생산하기 위한 연구개발도 중요하지만 하드웨어와 소프트웨어를 아우르는 데이터 기반 운영 전략도 요구된다.
         최형기 한국기계산업진흥회 상근부회장은 “반도체, 자동차 등 첨단 기술 제품이 탄생하려면 기계산업 경쟁력이 뒷받침돼야 하는데 우리나라는 '기계=전통산업'이라는 이미지가 강해 전방산업 발전 속도를 따라잡지 못하고 있다”며 “제조업이 국가 경쟁력을 좌우하는 핵심인 만큼 이 분야 중소·중견기업과 부품·소재, 뿌리산업 기업에 대한 적극적인 지원과 인식전환이 필요하다”고 강조했다.
         배옥진기자 withok@etnews.com",http://v.media.daum.net/v/20190418170006594
7,"기계산업은 제조업 핵심 생산설비를 공급하며 기업과 국가 제조 경쟁력을 좌우하는 중요 산업 분야다. 기술을 축적하는 데 오랜 시간과 대규모 투자가 필요하고 기술 진입장벽이 높아 단기간에 경쟁력을 확보하기 어렵다. 하지만 신기술 개발에 성공해 상용화하면 오랫동안 제조 경쟁력을 유지할 수 있어 경제 파급력도 더 높일 수 있다.
         한국기계산업진흥회는 기계 국산화와 기계산업 경쟁력 강화 일환으로 1969년 창설됐다. 이제는 기계산업 디지털 혁신, 지능형 기계 등으로 발전하기 위한 초석을 다지고 있다.
         '일반기계 수출 500억달러 돌파' '4년 연속 일반기계 수출 2위 달성'.
         지난해 국내 일반기계산업 부문은 전년 대비 수출이 10.2% 증가한 536억달러(약 50조7600억원)를 기록해 사상 처음으로 수출 500억달러를 돌파했다. 4년 연속 반도체 다음으로 많이 수출한 분야로도 꼽힌다.
         이 같은 성과는 50년간 정부와 기업이 합심해 이룬 결과다. 반도체, 철강, 자동차 등 주력산업 설비를 공급하는 핵심 기반으로써 경쟁력을 높이기 위해 일본·독일·미국 등 선진국에 의존하던 기계를 국산화하고 기계공업 중심의 공업 자립기반 구축과 고도화, 1967년 기계공업진흥법 제정, 1969년 한국기계공업진흥회 창설 등을 추진한 게 주효했다.
         ◇기계산업 토대된 경제개발·수출확대 전략
         우리나라는 산업구조 근대화를 위해 1967년 제2차 경제개발 5개년 계획을 추진했다. 당시 중점과제 중 화학·철강·기계공업으로 공업 고도화 기틀을 마련하고 공업 생산을 늘리는 방안을 담았다. 산업 구조를 근대화하고 공업 내에서 중화학 공업 비중을 확대하겠다는 목표를 세웠다. 당시 중화학공업 투자계획 비중이 60%를 상회할 정도였다.
         정부는 1967년 기계공업진흥법을 신설하고 1971년까지 현 기계시설 30%를 국산화하는 것을 목표로 기계공업 육성계획을 확정했다. 이 법은 20여년간 우리나라 기계공업발전에 크게 이바지했다.
         이후 3차 경제개발 5개년 계획과 6개 중화학공업 중점 육성계획을 마련했다. 중화학공업 육성계획은 1981년까지 1인당 국민소득 1000달러와 100억달러 수출 달성을 목표로 기계, 조선, 전자, 화학, 철강, 비철금속 등 6개 중화학공업을 중점 육성하는 방안이 담겼다. 이후 장기기계공업 육성계획 일환으로 공작기계공업 육성방안도 마련했다.
         이 같은 노력을 바탕으로 기계산업은 국가 경제발전을 이끄는 핵심 분야로 성장했다. 중화학공업 중심으로 산업 구조가 재편됐고 전문 기능인력 양성, 연구개발, 기계 국산화에 집중해 성과도 거뒀다.
         ◇세계로 뻗어나가는 한국 기계산업
         1980년대 주요 수출산업이 성숙해 성장이 둔화하면서 새로운 산업을 육성하기 위한 성장 전략이 필요해졌다. 이에 기존 공업발전법을 폐지하고 산업발전법을 제정해 기업 성장을 지원하기 위한 여러 방안을 담았다.
         경쟁력이 뒤처진 국내 부품·소재산업 역량을 끌어올리기 위한 제도도 마련했다. 2000년 한국기계산업진흥회가 부품·소재 전문기업 육성법 제정을 건의했고 이를 반영해 2001년 부품·소재 전문기업 등 육성에 관한 특별조치법이 제정·공포됐다.
         이 법이 시행됨에 따라 전문투자조합을 꾸려 자금을 지원할 수 있게 됐고 공공기금과 외국인이 투자조합에 출자할 수 있게 됐다. 또 대학 교수와 국공립 연구기관 연구원이 관련 기업 임직원을 겸직할 수 있게 됐고 기업은 세제 혜택과 정책자금 지원을 받을 수 있게 됐다.
         2000년에 접어들며 기계산업은 IMF 외환위기 이후 점차 안정됐다. 2002년 기계산업 총수요는 215조원을 기록해 사상 첫 200조원을 돌파했다. 2005년에는 내수가 회복해 설비투자가 증가하고 자동차·조선 산업이 성장하면서 수출이 증가했다. 기계산업 종사자 수는 123만3200명으로 2000년 이후 5년 만에 20.2% 증가했다. 사업체 수는 4만6082개로 29.4% 늘었다.
         일반기계 부문은 1988년부터 2003년까지 만성 무역수지 적자를 기록했으나 지속 성장하면서 2004년 흑자전환에 성공했다. 같은 기간 전통 주력 수출산업인 전자전기 제품군 점유율은 8.1% 감소했지만 일반기계 수출 비중은 4.2%에서 8.9%로 증가했다. 수출 점유율은 2008년 주요 수출품목인 자동차·반도체를 상회할 정도로 성장했다.
         2019년 현재 세계 주요 선진국은 성장 동력이 여전히 제조업에 있음을 재확인하고 이 분야 경쟁력을 끌어올리기 위한 방안을 모색하고 있다. 독일이 먼저 시작한 '인더스트리 4.0' 전략은 국내에서 4차 산업혁명으로 인식되며 미래 제조업 성장 방향으로 인식되고 있다.
         4차 산업혁명은 인공지능(AI), 빅데이터, 사물인터넷(IoT)을 활용해 생산자가 아닌 수요자 중심의 제조로 패러다임을 전환하는 게 골자다. 전통 제조산업에 디지털 기술을 접목해 스마트 공장, 스마트 서비스 플랫폼을 갖춰야 경쟁력을 확보할 수 있다는 분석이 나온다.
         이 일환으로 2013년부터 2018년까지 추진한 산업혁신운동은 국내에 1500여개 스마트 공장을 구축하고 기업의 공정·환경을 혁신하는 결과를 낳았다. 기존 1단계는 제조업 중심으로 추진했으나 2018년 시작한 2단계는 유통·물류 등으로 지원 대상을 확대했다.
         배옥진기자 withok@etnews.com",http://v.media.daum.net/v/20190418170006595
8,"KAIST(총장 신성철)가 의료 현장에서 환자 위험 예측 정확도를 대폭 높일 수 있는 인공지능(AI) 기술을 개발했다. 연구진이 직접 참여하는 스타트업 기업을 통해 상용화도 준비하고 있다.
         KAIST는 황성주·양은호 전산학부 교수팀이 기존 '주의집중 모델'을 개량해 질병 진행이나 응급 상황을 높은 정확도로 예측하는 주의집중 기반 심층학습 모델을 개발했다고 18일 밝혔다.
         
          
          
           도식화한 불확실성 주의 집중 메카니즘 기반 진단 시스템
          
         
         주의집중 모델은 생체 데이터 지표 주요 요소를 학습해 사용자가 제시한 주제를 예측한다. 의료 분야에서 주로 사용한다. 질병 발병 가능성은 얼마나 되는지, 사망 확률은 얼마인지를 분석해 예측 결과를 내놓는다.
         문제는 현재 수준으로는 실제 의료 환경에서 활용할 수 있을 만큼 정확도가 높지 않다는 점이다. 학습 데이터가 부족하거나 사람 체질에 따른 지표 오차가 심하면 정확도가 급감한다.
         연구팀은 '불확실성'을 고려한 학습 알고리즘을 모델에 결합하는 방법으로 문제를 해결했다. 예를 들어 지표가 환자 사망에 직접 영향을 미치는지 알 수 없을 경우 이를 '덜 중요한 요소'로 고려해 최종 판단을 보류하는 식이다. 이 경우 해당 기록을 의료진에 전달, 추가 검증 과정을 거치게 한다. 개발 모델을 활용한 예측 정확도는 82%에 달한다.
         
          
          
           연구팀은 불확실성을 보정해 노픈 예측 신뢰도를 구현했다.
          
         
         연구팀은 지난해 세계 최고 권위를 가진 기계학습 학회 '닙스(NIPS 2018)'에 관련 기술을 소개해 극찬을 받았다.
         현재는 연구진이 참여한 '에이아이트릭스(AITRICS·대표 유진규)'를 통해 기술 상용화를 준비하고 있다. 다수 대학 병원과 협업해 모델 최종 성능을 검증하고 있다.
         황성주 교수는 “개발 모델은 의료기관이나 보험사 등에서 신속하게 환자 위험을 예측 할 수 있도록 돕는다”며 “패혈증과 같이 빠르게 진행되는 병에 신속 대응하도록 위험 상황 발생 여부와 시기 예측, 판단 이유·설명을 제시하는 의료 프레임워크를 개발했다”고 말했다.
         대전=김영준기자 kyj85@etnews.com",http://v.media.daum.net/v/20190418190005340
9,"SK바이오팜과 미국 투자아는 비소세포폐암 혁신신약 개발을 위한 공동연구 계약을 체결했다
          
         
         SK바이오팜(대표 조정우)은 인공지능(AI) 기반 신약개발 회사 투자아와 비소세포폐암 치료 혁신 신약 개발을 위한 공동 연구 계약을 체결했다. 비소세포폐암은 세계적으로 사망률이 높은 암 종류 중 하나로 5년 생존율이 18% 미만이다.
         미국 캘리포니아에 위치한 투자아는 방대한 데이터를 바탕으로 한 AI 기반 플랫폼을 보유한 바이오텍이다. 양사 간 계약에 따라 앞으로 투자아는 새로운 생물학 기전을 통해 폐암 치료 가능성이 높은 신약 후보물질 발굴하기 위해 AI 기술을 활용한다.
         맹철영 SK바이오팜 항암연구소장 상무는 “AI를 기반한 기술은 유망한 신약 후보물질을 발굴하는 데 새롭고 효율적인 방법으로 활용한다”며 “투자아와 SK바이오팜의 AI 기술과 연구 역량이 결합하면 이전보다 신약 후보물질 발굴·개발 시간을 단축시킬 수 있을 것이라 확신한다”고 말했다.
         투자아 공동 설립자 겸 대표이사인 앤드류 레이딘은 “SK바이오팜이AI기술을 통해 효율적 신약 개발을 하려는 점에서 뜻이 맞아 이번 계약을 체결하게 됐다”며 “사망률이 높은 암 종류 중 하나인 폐암은 새로운 치료제에 대한 미충족 수요가 높아 양사 플랫폼을 활용해 빠르게 신약을 발굴 할 것”이라고 전했다.
         성다교기자 dksung@etnews.com",http://v.media.daum.net/v/20190418172903684
